X	SP
-67.3684321932995	0.9942775558984555
-62.105275928904305	0.9856938743973052
-58.10527644517916	0.9828326369976995
-53.473689536309024	0.9756795588475188
-49.05264983877383	0.9656652432977325
-44.210533788188705	0.9542203243969767
-38.73683031245858	0.9384835647456456
-33.894750401113306	0.9270386458448898
-29.052634350528166	0.9141631235931644
-24.00000722784796	0.8941344924935918
-20.000007744122833	0.865522179892869
-16.421066543827664	0.8397711046917515
-12.842107273912589	0.8082976160867561
-9.473695215332441	0.7739627979891556
-6.736852512277352	0.7396281026822209
-4.000009809222249	0.7052932845846205
-1.4736962478821596	0.6709585892776858
0.21051881621788482	0.6366237404824188
1.2631464551729437	0.5994278077758786
2.315792163747915	0.5622318136740053
3.5789489444179736	0.5307582329760104
5.2631459388980915	0.49785414102004544
6.315791647473034	0.4620887809668083
8.210517783668166	0.42775393217154123
9.89473284776821	0.3934192675622731
12.210517267393328	0.3633762595175811
14.315790614923358	0.3333334356588882
17.052633317978447	0.30185979356556036
20.00002323236849	0.2732475423601703
23.157888079613713	0.24034345040420532
25.684201640953802	0.21173107640814942
28.84210262743892	0.18168819115412346
32.21055082525889	0.1559371466506726
36.631572453174186	0.12732483404994982
42.10525785928438	0.10014315549786298
46.7368447681545	0.08011452439829034
51.36841360740473	0.06008601608938351
56.63156987179994	0.04434916434505314
61.89476227543494	0.03290433753729668
66.94737132849522	0.024320656036146308
