EXT_BIN	EXT_BIN_START	EXT_BIN_END	EXT_BIN_MED	SP	PMF_RE
29	69.30883619999999	71.30056055	70.30469837499999	1.0	-1.1740388
30	71.30056055	73.2922849	72.296422725	0.8604651	-1.2370384
31	73.2922849	75.28400925	74.288147075	0.74891776	-1.3949715
32	75.28400925	77.2757336	76.279871425	0.6678201	-1.5626197
33	77.2757336	79.26745795	78.271595775	0.6034985	-1.3850658
34	79.26745795	81.25918229999999	80.26332012499999	0.4719472	-1.1766974
35	81.25918229999999	83.25090664999999	82.25504447499999	0.3256705	-1.1036372
36	83.25090664999999	85.24263099999999	84.24676882499999	0.15789473	-1.0819821
37	85.24263099999999	87.23435534999999	86.23849317499999	0.0	-1.1003492
